Player,Team,Auction Price,Base Price,Year,,
Shaun Tait,,375000,250000,2009,,
JP Duminy,,950000,300000,2009,,
Andrew Flintoff,,1550000,950000,2009,,
Kevin Pietersen,,1550000,1350000,2009,,
Fidel Edwards,,150000,150000,2009,,
Owais Shah,,275000,150000,2009,,
Paul Collingwood,,275000,250000,2009,,
Tyron Henderson,,650000,100000,2009,,
Ravi Bopara,,450000,150000,2009,,
Thilan Thushara,,140000,100000,2009,,
Jesse Ryder,,160000,100000,2009,,
Kyle Mills,,150000,150000,2009,,
Dwayne Smith,,100000,100000,2009,,
Jerome Taylor,,150000,150000,2009,,
Mohammad Ashraful,,75000,75000,2009,,
Mashrafe Mortaza,,600000,50000,2009,,
George Bailey,,50000,50000,2009,,
