Player,Team,Auction Price,Base Price,Year
Gautam Gambhir,Kolkata Knight Riders,"2,400,000 ","200,000 ",2011
Yusuf Pathan,Kolkata Knight Riders,"2,100,000 ","300,000 ",2011
Robin Uthappa,Pune Warriors India,"2,100,000 ","200,000 ",2011
Rohit Sharma,Mumbai Indians,"2,000,000 ","200,000 ",2011
Irfan Pathan,Delhi Daredevils,"1,900,000 ","200,000 ",2011
Yuvraj Singh,Pune Warriors India,"1,800,000 ","400,000 ",2011
Saurabh Tiwary,Royal Challengers Bangalore,"1,600,000 ","100,000 ",2011
Mahela Jayawardene,,"1,500,000 ","400,000 ",2011
David Hussey,Kolkata Knight Riders,"1,400,000 ","200,000 ",2011
Dale Steyn,Deccan Chargers,"1,200,000 ","200,000 ",2011
Muttiah Muralitharan,Chennai Super Kings,"1,100,000 ","300,000 ",2011
Cameron White,Royal Challengers Bangalore,"1,100,000 ","300,000 ",2011
Jacques Kallis,Royal Challengers Bangalore,"1,100,000 ","300,000 ",2011
AB de Villiers,Royal Challengers Bangalore,"1,100,000 ","400,000 ",2011
Ross Taylor,Royal Challengers Bangalore,"1,000,000 ","400,000 ",2011
Angelo Mathews,Kolkata Knight Riders,"950,000 ","300,000 ",2011
Ravindra Jadeja,Kochi Tuskers Kerala,"950,000 ","100,000 ",2011
Johan Botha,Rajasthan Royals,"950,000 ","200,000 ",2011
Dinesh Karthik,Delhi Daredevils,"900,000 ","200,000 ",2011
Piyush Chawla,Kings XI Punjab,"900,000 ","100,000 ",2011
Sreesanth,Kochi Tuskers Kerala,"900,000 ","200,000 ",2011
Adam Gilchrist,Deccan Chargers,"900,000 ","400,000 ",2011
Zaheer Khan,Mumbai Indians,"900,000 ","300,000 ",2011
Dan Christian,Deccan Chargers,"900,000 ","50,000 ",2011
Ravichandran Ashwin,Chennai Super Kings,"850,000 ","100,000 ",2011
Ashish Nehra,Pune Warriors India,"850,000 ","200,000 ",2011
Andrew Symonds,Deccan Chargers,"850,000 ","300,000 ",2011
Subramaniam Badrinath,Chennai Super Kings,"800,000 ","100,000 ",2011
Praveen Kumar,Royal Challengers Bangalore,"800,000 ","200,000 ",2011
Abhishek Nayar,Kings XI Punjab,"800,000 ","50,000 ",2011
David Warner,Delhi Daredevils,"750,000 ","200,000 ",2011
Umesh Yadav,Delhi Daredevils,"750,000 ","50,000 ",2011
Munaf Patel,Mumbai Indians,"700,000 ","100,000 ",2011
Venugopal Rao,Delhi Daredevils,"700,000 ","100,000 ",2011
Kumar Sangakkara,Deccan Chargers,"700,000 ","300,000 ",2011
Cheteshwar Pujara,Royal Challengers Bangalore,"700,000 ","100,000 ",2011
Doug Bollinger,Chennai Super Kings,"700,000 ","200,000 ",2011
Dirk Nannes,Royal Challengers Bangalore,"650,000 ","200,000 ",2011
Tillakaratne Dilshan,Royal Challengers Bangalore,"650,000 ","400,000 ",2011
Kevin Pietersen,Deccan Chargers,"650,000 ","400,000 ",2011
Daniel Vettori,Royal Challengers Bangalore,"550,000 ","400,000 ",2011
Pragyan Ojha,Deccan Chargers,"500,000 ","200,000 ",2011
Rahul Dravid,Rajasthan Royals,"500,000 ","400,000 ",2011
Graeme Smith,Pune Warriors India,"500,000 ","400,000 ",2011
RP Singh,Kochi Tuskers Kerala,"500,000 ","200,000 ",2011
Lakshmipathy Balaji,Kolkata Knight Riders,"500,000 ","100,000 ",2011
Manoj Tiwary,Kolkata Knight Riders,"475,000 ","100,000 ",2011
Morné Morkel,Delhi Daredevils,"475,000 ","100,000 ",2011
Brendon McCullum,Kochi Tuskers Kerala,"475,000 ","400,000 ",2011
Vinay Kumar,Kochi Tuskers Kerala,"475,000 ","100,000 ",2011
Ishant Sharma,Deccan Chargers,"450,000 ","200,000 ",2011
Brad Hodge,Kochi Tuskers Kerala,"425,000 ","200,000 ",2011
Shakib Al Hasan,Kolkata Knight Riders,"425,000 ","200,000 ",2011
Michael Hussey,Chennai Super Kings,"425,000 ","200,000 ",2011
Brett Lee,Kolkata Knight Riders,"400,000 ","400,000 ",2011
Shaun Marsh,Kings XI Punjab,"400,000 ","400,000 ",2011
Stuart Broad,Kings XI Punjab,"400,000 ","400,000 ",2011
VVS Laxman,Kochi Tuskers Kerala,"400,000 ","300,000 ",2011
Murali Kartik,Pune Warriors India,"400,000 ","200,000 ",2011
Ashok Dinda,Delhi Daredevils,"375,000 ","100,000 ",2011
Eoin Morgan,Kolkata Knight Riders,"350,000 ","200,000 ",2011
James Hopes,Delhi Daredevils,"350,000 ","200,000 ",2011
Ryan Harris,Kings XI Punjab,"325,000 ","200,000 ",2011
Brad Haddin,Kolkata Knight Riders,"325,000 ","200,000 ",2011
Callum Ferguson,Pune Warriors India,"300,000 ","200,000 ",2011
Aaron Finch,Delhi Daredevils,"300,000 ","100,000 ",2011
Amit Mishra,Deccan Chargers,"300,000 ","100,000 ",2011
Shikhar Dhawan,Deccan Chargers,"300,000 ","100,000 ",2011
JP Duminy,Deccan Chargers,"300,000 ","200,000 ",2011
Shaun Tait,Rajasthan Royals,"300,000 ","300,000 ",2011
Parthiv Patel,Kochi Tuskers Kerala,"290,000 ","100,000 ",2011
Mitchell Marsh,Pune Warriors India,"290,000 ","100,000 ",2011
Manpreet Gony,Deccan Chargers,"290,000 ","50,000 ",2011
Naman Ojha,Delhi Daredevils,"270,000 ","100,000 ",2011
Tim Paine,Pune Warriors India,"270,000 ","100,000 ",2011
Abhimanyu Mithun,Royal Challengers Bangalore,"260,000 ","100,000 ",2011
Jaydev Unadkat,Kolkata Knight Riders,"250,000 ","50,000 ",2011
Paul Collingwood,Rajasthan Royals,"250,000 ","200,000 ",2011
Sudeep Tyagi,Chennai Super Kings,"240,000 ","50,000 ",2011
Ajit Agarkar,Delhi Daredevils,"210,000 ","100,000 ",2011
Steven Smith,Kochi Tuskers Kerala,"200,000 ","200,000 ",2011
Dwayne Bravo,Chennai Super Kings,"200,000 ","200,000 ",2011
Owais Shah,Kochi Tuskers Kerala,"200,000 ","200,000 ",2011
Scott Styris,Chennai Super Kings,"200,000 ","100,000 ",2011
Davy Jacobs,Mumbai Indians,"190,000 ","20,000 ",2011
Ramesh Powar,Kochi Tuskers Kerala,"180,000 ","100,000 ",2011
Wayne Parnell,Pune Warriors India,"160,000 ","100,000 ",2011
Ryan ten Doeschate,Kolkata Knight Riders,"150,000 ","50,000 ",2011
Jesse Ryder,Pune Warriors India,"150,000 ","100,000 ",2011
Joginder Sharma,Chennai Super Kings,"150,000 ","100,000 ",2011
Charl Langeveldt,Royal Challengers Bangalore,"140,000 ","100,000 ",2011
Mohammad Kaif,Royal Challengers Bangalore,"130,000 ","100,000 ",2011
Francois du Plessis,Chennai Super Kings,"120,000 ","20,000 ",2011
Clint McKay,Mumbai Indians,"110,000 ","100,000 ",2011
Nathan McCullum,Pune Warriors India,"100,000 ","100,000 ",2011
James Franklin,Mumbai Indians,"100,000 ","100,000 ",2011
Wriddhiman Saha,Chennai Super Kings,"100,000 ","100,000 ",2011
Jerome Taylor,Pune Warriors India,"100,000 ","100,000 ",2011
James Pattinson,Kolkata Knight Riders,"100,000 ","100,000 ",2011
Alfonso Thomas,Pune Warriors India,"100,000 ","50,000 ",2011
Nuwan Kulasekara,Chennai Super Kings,"100,000 ","100,000 ",2011
Matthew Wade,Delhi Daredevils,"100,000 ","100,000 ",2011
Dimitri Mascarenhas,Kings XI Punjab,"100,000 ","100,000 ",2011
Colin Ingram,Delhi Daredevils,"100,000 ","100,000 ",2011
Ben Hilfenhaus,Chennai Super Kings,"100,000 ","100,000 ",2011
Pankaj Singh,Rajasthan Royals,"95,000 ","50,000 ",2011
Rusty Theron,Deccan Chargers,"85,000 ","50,000 ",2011
Suraj Randiv,Chennai Super Kings,"80,000 ","50,000 ",2011
John Hastings,Kochi Tuskers Kerala,"20,000 ","20,000 ",2011
Andrew McDonald,Delhi Daredevils,"80,000 ","50,000 ",2011
Thissara Perera,Kochi Tuskers Kerala,"80,000 ","50,000 ",2011
Michael Lumb,Deccan Chargers,"80,000 ","50,000 ",2011
Michael Klinger,Kochi Tuskers Kerala,"75,000 ","20,000 ",2011
Johan van der Wath,Royal Challengers Bangalore,"50,000 ","50,000 ",2011
Moises Henriques,Mumbai Indians,"50,000 ","50,000 ",2011
George Bailey,Chennai Super Kings,"50,000 ","50,000 ",2011
Roelof van der Merwe,Delhi Daredevils,"50,000 ","50,000 ",2011
Luke Pomersbach,Royal Challengers Bangalore,"50,000 ","20,000 ",2011
Rilee Rossouw,Royal Challengers Bangalore,"20,000 ","20,000 ",2011
Nuwan Pradeep,Royal Challengers Bangalore,"20,000 ","20,000 ",2011
Chris Lynn,Deccan Chargers,"20,000 ","20,000 ",2011
Travis Birt,Delhi Daredevils,"20,000 ","20,000 ",2011
Nathan Rimmington,Kings XI Punjab,"20,000 ","20,000 ",2011
Jonathan Vandiar,Royal Challengers Bangalore,"20,000 ","20,000 ",2011
Aiden Blizzard,Mumbai Indians,"20,000 ","20,000 ",2011
Robert Frylinck,Delhi Daredevils,"20,000 ","20,000 ",2011
Stephen O'Keefe,Kochi Tuskers Kerala,"20,000 ","20,000 ",2011
