url,Player,Nationality,Team,Mat,Inns,NotOut,Runs,HS,Avg,BF,SR,100s,50s,4s,6s
http://www.iplt20.com/stats/2011/highest-strikerate,Chris; Gayle,Overseas,RCB,12,12,3,608,107,67.55,332,183.13,2,3,57,44
http://www.iplt20.com/stats/2011/highest-strikerate,Virender; Sehwag,Indian,Delhi Daredevils,11,11,0,424,119,38.54,240,176.66,1,2,51,18
http://www.iplt20.com/stats/2011/highest-strikerate,MS; Dhoni,Indian,Chennai Super Kings,16,13,4,392,70*,43.55,247,158.7,0,2,25,23
http://www.iplt20.com/stats/2011/highest-strikerate,Jesse; Ryder,Overseas,Pune Warriors India,13,13,0,292,60,22.46,197,148.22,0,2,37,11
http://www.iplt20.com/stats/2011/highest-strikerate,Ryan; ten Doeschate,Overseas,Kolkata Knight Riders,6,3,1,107,70*,53.5,73,146.57,0,1,9,5
http://www.iplt20.com/stats/2011/highest-strikerate,Shaun; Marsh,Overseas,Kings XI Punjab,14,13,1,504,95,42,344,146.51,0,4,52,20
http://www.iplt20.com/stats/2011/highest-strikerate,Harbhajan; Singh,Indian,Mumbai Indians,15,8,5,103,30,34.33,71,145.07,0,0,9,6
http://www.iplt20.com/stats/2011/highest-strikerate,Yusuf; Pathan,Indian,Kolkata Knight Riders,15,11,1,283,47*,28.3,201,140.79,0,0,24,13
http://www.iplt20.com/stats/2011/highest-strikerate,Aiden; Blizzard,Overseas,Mumbai Indians,6,6,0,120,51,20,87,137.93,0,1,21,2
http://www.iplt20.com/stats/2011/highest-strikerate,James; Franklin,Overseas,Mumbai Indians,8,5,3,107,45*,53.5,78,137.17,0,0,10,2
http://www.iplt20.com/stats/2011/highest-strikerate,Paul; Valthaty,Overseas,Kings XI Punjab,14,14,1,463,120*,35.61,338,136.98,1,2,56,20
http://www.iplt20.com/stats/2011/highest-strikerate,Albie; Morkel,Overseas,Chennai Super Kings,15,13,7,138,30*,23,102,135.29,0,0,8,8
http://www.iplt20.com/stats/2011/highest-strikerate,Suresh; Raina,Indian,Chennai Super Kings,16,16,2,438,73*,31.28,325,134.76,0,4,36,17
http://www.iplt20.com/stats/2011/highest-strikerate,Yuvraj; Singh,Indian,Pune Warriors India,14,13,3,343,66*,34.3,261,131.41,0,2,24,18
http://www.iplt20.com/stats/2011/highest-strikerate,Shane; Watson,Overseas,Rajasthan Royals,11,11,1,330,89*,33,253,130.43,0,1,31,17
http://www.iplt20.com/stats/2011/highest-strikerate,Sunny; Sohal,Indian,Deccan Chargers,11,10,0,249,62,24.9,191,130.36,0,2,25,10
http://www.iplt20.com/stats/2011/highest-strikerate,Adam; Gilchrist,Overseas,Kings XI Punjab,14,14,0,383,106,27.35,295,129.83,1,2,41,18
http://www.iplt20.com/stats/2011/highest-strikerate,Brendon; McCullum,Overseas,Kochi Tuskers Kerala,13,13,0,357,81,27.46,275,129.81,0,1,35,16
http://www.iplt20.com/stats/2011/highest-strikerate,Travis; Birt,Overseas,Delhi Daredevils,5,5,0,75,27,15,58,129.31,0,0,9,2
http://www.iplt20.com/stats/2011/highest-strikerate,Shikhar; Dhawan,Indian,Deccan Chargers,14,14,2,400,95*,33.33,310,129.03,0,2,47,7
http://www.iplt20.com/stats/2011/highest-strikerate,AB; de Villiers,Overseas,Royal Challengers Bangalore,16,13,4,312,65,34.66,243,128.39,0,2,21,14
http://www.iplt20.com/stats/2011/highest-strikerate,Dinesh; Karthik,Indian,Kings XI Punjab,14,13,2,282,69,25.63,220,128.18,0,1,32,7
http://www.iplt20.com/stats/2011/highest-strikerate,Murali; Vijay,Indian,Chennai Super Kings,16,16,0,434,95,27.12,339,128.02,0,3,34,20
http://www.iplt20.com/stats/2011/highest-strikerate,Tirumalasetti; Suman,Overseas,Mumbai Indians,8,7,1,65,36,10.83,51,127.45,0,0,5,5
http://www.iplt20.com/stats/2011/highest-strikerate,Dwaraka; Ravi Teja,Indian,Deccan Chargers,12,9,2,183,60,26.14,144,127.08,0,1,17,4
