url,Player,Nationality,Team,Mat,Inns,Overs,Runs,Wkts,BBI,Avg,Econ,SR,4w,5w
http://www.iplt20.com/stats/2012/best-strikerates,Andrew; McDonald,Overseas,RCB,4,3,10,61,5,25-Feb,12.2,6.1,12,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Doug; Bollinger,Overseas,Chennai Super Kings,6,6,18,157,8,24-Mar,19.62,8.72,13.5,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Ryan; Harris,Overseas,Kings XI Punjab,5,5,18,130,8,Apr-34,16.25,7.22,13.5,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Dimitri; Mascarenhas,Overseas,Kings XI Punjab,4,4,16,105,7,25-May,15,6.56,13.71,0,1
http://www.iplt20.com/stats/2012/best-strikerates,Kevon; Cooper,Overseas,Rajasthan Royals,6,6,24,174,10,26-Apr,17.4,7.25,14.4,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Ashish; Reddy,Indian,Deccan Chargers,9,8,24.1,205,10,25-Mar,20.5,8.48,14.5,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Ben; Hilfenhaus,Overseas,Chennai Super Kings,9,9,34,233,14,27-Mar,16.64,6.85,14.57,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Sunil; Narine,Overseas,Kolkata Knight Riders,15,15,59.1,324,24,19-May,13.5,5.47,14.79,1,1
http://www.iplt20.com/stats/2012/best-strikerates,Shakib; Al Hasan,Overseas,Kolkata Knight Riders,8,8,30,195,12,17-Mar,16.25,6.5,15,0,0
http://www.iplt20.com/stats/2012/best-strikerates,James; Franklin,Overseas,Mumbai Indians,12,9,15,121,6,18-Feb,20.16,8.06,15,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Morne; Morkel,Overseas,Delhi Daredevils,16,16,63,453,25,20-Apr,18.12,7.19,15.12,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Lasith; Malinga,Overseas,Mumbai Indians,14,14,55.3,350,22,16-Apr,15.9,6.3,15.13,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Dale; Steyn,Overseas,Deccan Chargers,12,12,46.4,285,18,8-Mar,15.83,6.1,15.55,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Muttiah; Muralitharan,Overseas,Royal Challengers Bangalore,10,10,40,260,15,21-Mar,17.33,6.5,16,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Ashok; Dinda,Indian,Pune Warriors India,7,7,24,169,9,18-Apr,18.77,7.04,16,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Lakshmipathy; Balaji,Indian,Kolkata Knight Riders,8,8,29.5,163,11,18-Apr,14.81,5.46,16.27,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Kieron; Pollard,Overseas,Mumbai Indians,14,14,43.5,350,16,Apr-44,21.87,7.98,16.43,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Parvinder; Awana,Indian,Kings XI Punjab,12,12,47,372,17,Apr-34,21.88,7.91,16.58,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Ajit; Chandila,Indian,Rajasthan Royals,4,4,14,86,5,13-Apr,17.2,6.14,16.8,1,0
http://www.iplt20.com/stats/2012/best-strikerates,KP; Appanna,Indian,Royal Challengers Bangalore,7,6,17,148,6,19-Apr,24.66,8.7,17,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Ravindra; Jadeja,Indian,Chennai Super Kings,19,14,35,273,12,16-May,22.75,7.8,17.5,0,1
http://www.iplt20.com/stats/2012/best-strikerates,Vinay; Kumar,Indian,Royal Challengers Bangalore,15,14,55.5,480,19,22-Mar,25.26,8.59,17.63,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Pankaj; Singh,Indian,Rajasthan Royals,6,6,21,170,7,18-Feb,24.28,8.09,18,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Azhar; Mahmood,Overseas,Kings XI Punjab,11,11,42.4,329,14,20-Mar,23.5,7.71,18.28,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Munaf; Patel,Indian,Mumbai Indians,12,12,46.4,367,15,20-Apr,24.46,7.86,18.66,2,0
http://www.iplt20.com/stats/2012/best-strikerates,Pawan; Negi,Indian,Delhi Daredevils,8,6,22,152,7,18-Apr,21.71,6.9,18.85,1,0
http://www.iplt20.com/stats/2012/best-strikerates,Umesh; Yadav,Indian,Delhi Daredevils,17,17,61,453,19,19-Mar,23.84,7.42,19.26,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Harmeet; Singh Bansal,Indian,Kings XI Punjab,7,6,19.2,168,6,24-Mar,28,8.68,19.33,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Amit; Singh,Indian,Rajasthan Royals,9,9,32.5,310,10,Feb-29,31,9.44,19.7,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Pragyan; Ojha,Indian,Mumbai Indians,9,9,30,220,9,17-Feb,24.44,7.33,20,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Marchant; de Lange,Overseas,Kolkata Knight Riders,3,3,10,107,3,Mar-34,35.66,10.7,20,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Stuart; Binny,Indian,Rajasthan Royals,8,6,10,78,3,8-Jan,26,7.8,20,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Dan; Christian,Overseas,Deccan Chargers,7,7,27,233,8,26-Feb,29.12,8.62,20.25,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Veer; Pratap Singh,Indian,Deccan Chargers,9,9,34,296,10,Feb-31,29.6,8.7,20.4,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Nuwan; Kulasekara,Overseas,Chennai Super Kings,5,4,14,94,4,10-Feb,23.5,6.71,21,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Zaheer; Khan,Indian,Royal Challengers Bangalore,16,15,60,453,17,Mar-38,26.64,7.55,21.17,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Piyush; Chawla,Indian,Kings XI Punjab,16,16,57,419,16,18-Mar,26.18,7.35,21.37,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Marlon; Samuels,Overseas,Pune Warriors India,8,8,28.4,216,8,Mar-39,27,7.53,21.5,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Jacques; Kallis,Overseas,Kolkata Knight Riders,17,16,54,403,15,7-Feb,26.86,7.46,21.6,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Brad; Hogg,Overseas,Rajasthan Royals,9,9,36,253,10,Feb-31,25.3,7.02,21.6,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Amit; Mishra,Indian,Deccan Chargers,14,14,47,377,13,Mar-32,29,8.02,21.69,0,0
http://www.iplt20.com/stats/2012/best-strikerates,Angelo; Mathews,Overseas,Pune Warriors India,9,9,26,192,7,17-Feb,27.42,7.38,22.28,0,0
